			DEBUG (Mon Dec 3 16:12:56 2012) : DataSearchConfig started
			DEBUG (Mon Dec 3 16:13:19 2012) : CSVimportDialog started
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2cu.ca...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2cu.ca...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2Cu.ca...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:53 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:53 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:53 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:53 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:53 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
